5.416089999999999842e-06,5.740545340614186203e-06,6.034095794753086991e-06,6.300947029951524117e-06,6.544591649999999131e-06,6.767949931264172634e-06,6.973479736570248409e-06,7.163262786507561614e-06,7.339072777777778257e-06,7.502429513499999487e-06,7.654642200443786956e-06,7.796844307698902490e-06,7.930021811224489901e-06,8.055036221388229035e-06,8.172643469444446163e-06
5.740545340614186203e-06,6.099134999999999670e-06,6.425134114439057394e-06,6.722782912499999405e-06,6.995631575255102889e-06,7.246671549586777448e-06,7.478438972707940574e-06,7.693096562499999422e-06,7.892498841500001600e-06,8.078244408284023014e-06,8.251718090277777992e-06,8.414125146683675013e-06,8.566519188094530354e-06,8.709825099999999172e-06,8.844857969888135336e-06
6.034095794753086144e-06,6.425134114439057394e-06,6.782180000000000344e-06,7.109472397250567593e-06,7.410586637396694702e-06,7.688556430174858187e-06,7.945970694444443716e-06,8.185050837499998526e-06,8.407712792159762922e-06,8.615617116340879071e-06,8.810209693877549275e-06,8.992754993683114504e-06,9.164363402777778574e-06,9.326013812760146709e-06,9.478572382812499577e-06
6.300947029951523270e-06,6.722782912499999405e-06,7.109472397250566746e-06,7.465225000000000171e-06,7.793615158908316146e-06,8.097695173611110293e-06,8.380085501500000430e-06,8.643047352071006682e-06,8.888541385888204034e-06,9.118275452806122851e-06,9.333743638153984873e-06,9.536258377777775898e-06,9.726977015153486132e-06,9.906923876953125272e-06,1.007700871527777746e-05
6.544591649999999131e-06,6.995631575255101195e-06,7.410586637396693855e-06,7.793615158908317840e-06,8.148270000000000846e-06,8.477602833500000535e-06,8.784248088017750905e-06,9.070490898919751185e-06,9.338322423469387271e-06,9.589485121507134685e-06,9.825510024999999616e-06,1.004774757706815699e-05,1.025739328125000084e-05,1.045550913997933982e-05,1.064304165873702171e-05
6.767949931264172634e-06,7.246671549586777448e-06,7.688556430174859881e-06,8.097695173611110293e-06,8.477602833500000535e-06,8.831315000000000673e-06,9.161465655435528996e-06,9.470350605867349311e-06,9.759979443742569023e-06,1.003211834444444464e-05,1.028832549850416268e-05,1.052998059570312459e-05,1.075830947974058563e-05,1.097440486159169240e-05,1.117924380025510272e-05
6.973479736570247562e-06,7.478438972707940574e-06,7.945970694444443716e-06,8.380085501500000430e-06,8.784248088017750905e-06,9.161465655435528996e-06,9.514360000000000501e-06,9.845226604860284498e-06,1.015608333611110929e-05,1.044871077946149980e-05,1.072468582031249990e-05,1.098540973456152339e-05,1.123213179714532760e-05,1.146596921249999901e-05,1.168792401234567902e-05
7.163262786507561614e-06,7.693096562499999422e-06,8.185050837499998526e-06,8.643047352071006682e-06,9.070490898919751185e-06,9.470350605867349311e-06,9.845226604860284498e-06,1.019740500000000033e-05,1.052890341994016667e-05,1.084150895507812509e-05,1.113680990444214968e-05,1.141622246539792393e-05,1.168101327168367250e-05,1.193231850694444352e-05,1.217116018056062613e-05
7.339072777777778257e-06,7.892498841499999906e-06,8.407712792159764616e-06,8.888541385888204034e-06,9.338322423469387271e-06,9.759979443742569023e-06,1.015608333611110929e-05,1.052890341994016667e-05,1.088045000000000016e-05,1.121250998938246114e-05,1.152667686634948139e-05,1.182437597780612319e-05,1.210688600308641961e-05,1.237535723497991188e-05,1.263082721087257572e-05
7.502429513499999487e-06,8.078244408284024708e-06,8.615617116340877377e-06,9.118275452806122851e-06,9.589485121507134685e-06,1.003211834444444464e-05,1.044871077946149980e-05,1.084150895507812509e-05,1.121250998938246114e-05,1.156349499999999998e-05,1.189605733086734599e-05,1.221162650077160391e-05,1.251148860459276905e-05,1.279680376038781161e-05,1.306862108583990755e-05
7.654642200443786956e-06,8.251718090277777992e-06,8.810209693877549275e-06,9.333743638153984873e-06,9.825510024999999616e-06,1.028832549850416268e-05,1.072468582031249990e-05,1.113680990444214968e-05,1.152667686634948139e-05,1.189605733086734599e-05,1.224653999999999981e-05,1.257955428939919763e-05,1.289638969009695178e-05,1.319821239090236575e-05,1.348607959999999835e-05
7.796844307698904184e-06,8.414125146683675013e-06,8.992754993683114504e-06,9.536258377777777592e-06,1.004774757706815699e-05,1.052998059570312459e-05,1.098540973456152339e-05,1.141622246539792393e-05,1.182437597780612149e-05,1.221162650077160391e-05,1.257955428939919763e-05,1.292958499999999964e-05,1.326300804343359485e-05,1.358099240000000215e-05,1.388460029353807103e-05
7.930021811224489901e-06,8.566519188094530354e-06,9.164363402777778574e-06,9.726977015153486132e-06,1.025739328125000084e-05,1.075830947974058733e-05,1.123213179714532760e-05,1.168101327168367250e-05,1.210688600308641961e-05,1.251148860459276905e-05,1.289638969009695178e-05,1.326300804343359485e-05,1.361262999999999947e-05,1.394642447705978587e-05,1.426545601332199580e-05
8.055036221388227341e-06,8.709825100000000866e-06,9.326013812760145015e-06,9.906923876953125272e-06,1.045550913997933982e-05,1.097440486159169409e-05,1.146596921249999901e-05,1.193231850694444352e-05,1.237535723497991188e-05,1.279680376038781161e-05,1.319821239090236575e-05,1.358099240000000215e-05,1.394642447705978587e-05,1.429567499999999929e-05,1.462980845744321143e-05
8.172643469444444469e-06,8.844857969888137030e-06,9.478572382812499577e-06,1.007700871527777916e-05,1.064304165873702510e-05,1.117924380025510103e-05,1.168792401234567902e-05,1.217116018056062952e-05,1.263082721087257572e-05,1.306862108583990924e-05,1.348607959999999835e-05,1.388460029353807272e-05,1.426545601332199580e-05,1.462980845744321143e-05,1.497872000000000081e-05
